Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
0,0,1,5400,55.01,40.0,2,3
1,1,0,5400,55.01,40.0,2,3
2,2,3,950,105.61,20.0,1,5
3,3,2,950,105.61,20.0,1,5
4,4,5,950,55.89,20.0,1,5
5,5,4,950,55.89,20.0,1,5
6,6,7,950,249.03,20.0,1,5
7,7,6,950,249.03,20.0,1,5
10,7,8,950,52.79,20.0,1,5
11,8,7,950,52.79,20.0,1,5
12,8,9,950,150.79,20.0,1,5
13,9,8,950,150.79,20.0,1,5
16,10,9,950,27.05,20.0,1,5
17,9,10,950,27.05,20.0,1,5
18,11,12,9900,503.88,60.0,3,1
19,10,13,950,87.72,20.0,1,5
20,13,10,950,87.72,20.0,1,5
23,13,14,950,65.79,20.0,1,5
24,14,13,950,65.79,20.0,1,5
27,14,15,950,63.1,20.0,1,5
28,15,14,950,63.1,20.0,1,5
31,16,17,9900,47.53,60.0,3,2
32,17,16,9900,47.53,60.0,3,2
33,15,18,950,68.28,20.0,1,5
34,18,15,950,68.28,20.0,1,5
37,18,19,950,77.59,20.0,1,5
38,19,18,950,77.59,20.0,1,5
39,20,21,9900,36.86,60.0,3,2
40,22,23,950,83.43,20.0,1,4
41,23,22,950,83.43,20.0,1,4
42,22,24,950,232.8,20.0,1,4
43,24,22,950,232.8,20.0,1,4
44,20,25,9900,35.87,60.0,3,2
47,23,26,950,210.34,20.0,1,4
48,26,23,950,210.34,20.0,1,4
49,26,27,950,154.77,20.0,1,4
50,27,26,950,154.77,20.0,1,4
53,27,28,950,100.57,20.0,1,4
54,28,27,950,100.57,20.0,1,4
57,29,30,9900,595.56,60.0,3,1
58,31,28,950,619.96,20.0,1,4
59,28,31,950,619.96,20.0,1,4
60,31,32,950,100.21,20.0,1,4
61,32,31,950,100.21,20.0,1,4
62,32,33,950,424.27,20.0,1,5
63,33,32,950,424.27,20.0,1,5
66,32,34,950,95.76,20.0,1,4
67,34,32,950,95.76,20.0,1,4
68,35,36,950,88.25,20.0,1,5
69,36,35,950,88.25,20.0,1,5
70,35,37,950,151.75,20.0,1,5
71,37,35,950,151.75,20.0,1,5
72,35,38,950,91.56,20.0,1,5
73,38,35,950,91.56,20.0,1,5
74,36,39,950,182.75,20.0,1,5
75,39,36,950,182.75,20.0,1,5
78,40,29,9900,135.09,60.0,3,1
79,39,41,950,44.76,20.0,1,5
80,41,39,950,44.76,20.0,1,5
85,41,42,950,127.75,20.0,1,5
86,42,41,950,127.75,20.0,1,5
87,42,43,950,292.74,20.0,1,5
88,43,42,950,292.74,20.0,1,5
91,40,44,950,73.99,20.0,1,5
92,43,45,950,345.62,20.0,1,5
93,45,43,950,345.62,20.0,1,5
96,46,47,950,85.94,20.0,1,5
97,47,46,950,85.94,20.0,1,5
98,46,45,950,21.23,20.0,1,5
99,45,46,950,21.23,20.0,1,5
100,47,48,950,28.43,20.0,1,5
103,49,50,950,64.56,20.0,1,4
104,50,49,950,64.56,20.0,1,4
105,50,51,950,111.4,20.0,1,5
106,51,50,950,111.4,20.0,1,5
109,50,52,950,202.49,20.0,1,4
110,52,50,950,202.49,20.0,1,4
113,24,53,950,290.9,20.0,1,5
114,53,24,950,290.9,20.0,1,5
115,24,52,950,194.16,20.0,1,4
116,52,24,950,194.16,20.0,1,4
117,54,55,950,38.11,20.0,1,4
118,54,56,950,40.53,20.0,1,4
119,56,54,950,40.53,20.0,1,4
120,54,57,950,243.99,20.0,1,4
121,57,54,950,243.99,20.0,1,4
122,58,59,950,181.6,20.0,1,4
123,59,58,950,181.6,20.0,1,4
124,58,60,950,147.42,20.0,1,4
125,60,58,950,147.42,20.0,1,4
126,60,61,5400,53.38,40.0,2,3
127,61,60,5400,53.38,40.0,2,3
128,60,62,5400,138.85,40.0,2,3
129,62,60,5400,138.85,40.0,2,3
132,60,63,950,50.99,20.0,1,4
133,63,60,950,50.99,20.0,1,4
134,64,65,950,31.78,20.0,1,4
135,65,64,950,31.78,20.0,1,4
136,64,63,950,139.33,20.0,1,4
137,63,64,950,139.33,20.0,1,4
140,65,66,950,137.02,20.0,1,4
141,66,65,950,137.02,20.0,1,4
142,67,68,950,162.03,20.0,1,4
143,68,67,950,162.03,20.0,1,4
144,67,69,950,128.61,20.0,1,4
145,69,67,950,128.61,20.0,1,4
146,68,70,950,108.5,20.0,1,4
147,70,68,950,108.5,20.0,1,4
150,71,72,9900,327.65,60.0,3,2
151,73,74,9900,282.34,60.0,3,2
152,75,76,950,46.66,20.0,1,5
153,76,75,950,46.66,20.0,1,5
154,75,77,950,273.81,20.0,1,5
155,77,75,950,273.81,20.0,1,5
156,76,78,950,213.4,20.0,1,5
157,78,76,950,213.4,20.0,1,5
160,78,79,950,149.01,20.0,1,5
161,79,78,950,149.01,20.0,1,5
164,79,80,950,18.91,20.0,1,5
165,80,79,950,18.91,20.0,1,5
168,80,81,950,17.18,20.0,1,5
169,81,80,950,17.18,20.0,1,5
174,37,81,950,80.79,20.0,1,5
175,81,37,950,80.79,20.0,1,5
176,82,34,950,255.83,20.0,1,4
177,34,82,950,255.83,20.0,1,4
178,82,83,950,147.56,20.0,1,4
179,83,82,950,147.56,20.0,1,4
180,84,85,5400,163.92,40.0,2,3
181,85,84,5400,163.92,40.0,2,3
182,84,86,5400,156.71,40.0,2,3
183,86,84,5400,156.71,40.0,2,3
184,87,88,950,207.33,20.0,1,5
185,88,87,950,207.33,20.0,1,5
186,87,89,950,275.18,20.0,1,5
187,89,87,950,275.18,20.0,1,5
188,90,91,5400,7.43,40.0,2,3
189,91,90,5400,7.43,40.0,2,3
190,90,92,5400,46.76,40.0,2,3
191,92,90,5400,46.76,40.0,2,3
194,91,93,5400,35.81,40.0,2,3
195,93,91,5400,35.81,40.0,2,3
196,94,95,950,217.88,20.0,1,4
197,95,94,950,217.88,20.0,1,4
198,96,97,950,94.78,20.0,1,5
199,97,96,950,94.78,20.0,1,5
200,96,98,950,75.4,20.0,1,5
201,98,96,950,75.4,20.0,1,5
202,99,100,5400,24.12,40.0,2,3
203,100,99,5400,24.12,40.0,2,3
204,99,101,5400,42.9,40.0,2,3
205,101,99,5400,42.9,40.0,2,3
206,102,103,9900,450.54,60.0,3,1
209,100,104,5400,53.06,40.0,2,3
210,104,100,5400,53.06,40.0,2,3
211,102,105,9900,258.77,60.0,3,1
212,106,107,950,44.1,20.0,1,5
213,108,109,950,50.62,20.0,1,5
214,110,111,950,238.08,20.0,1,5
215,111,110,950,238.08,20.0,1,5
216,112,113,950,27.99,20.0,1,5
217,112,114,950,70.81,20.0,1,5
218,114,112,950,70.81,20.0,1,5
219,115,116,950,86.58,20.0,1,5
220,116,115,950,86.58,20.0,1,5
221,115,117,950,61.98,20.0,1,5
222,117,115,950,61.98,20.0,1,5
223,115,118,950,33.75,20.0,1,5
224,118,115,950,33.75,20.0,1,5
225,117,119,950,96.42,20.0,1,5
226,119,117,950,96.42,20.0,1,5
227,110,120,950,135.12,20.0,1,5
232,119,121,950,159.59,20.0,1,5
233,121,119,950,159.59,20.0,1,5
234,121,122,950,143.09,20.0,1,5
235,122,121,950,143.09,20.0,1,5
240,110,123,950,106.85,20.0,1,5
241,123,110,950,106.85,20.0,1,5
242,122,124,950,60.31,20.0,1,5
243,124,122,950,60.31,20.0,1,5
244,122,125,950,71.97,20.0,1,5
245,125,122,950,71.97,20.0,1,5
246,122,126,950,61.63,20.0,1,5
247,126,122,950,61.63,20.0,1,5
248,125,127,950,71.63,20.0,1,5
249,127,125,950,71.63,20.0,1,5
252,127,128,950,76.33,20.0,1,5
253,128,127,950,76.33,20.0,1,5
256,128,129,950,76.41,20.0,1,5
257,129,128,950,76.41,20.0,1,5
260,129,130,950,59.87,20.0,1,5
261,130,129,950,59.87,20.0,1,5
264,130,131,950,55.73,20.0,1,5
265,131,130,950,55.73,20.0,1,5
268,131,132,950,56.44,20.0,1,5
269,132,131,950,56.44,20.0,1,5
272,132,133,950,68.33,20.0,1,5
273,133,132,950,68.33,20.0,1,5
278,133,134,950,60.33,20.0,1,5
279,134,133,950,60.33,20.0,1,5
280,134,135,950,65.87,20.0,1,5
281,135,134,950,65.87,20.0,1,5
284,135,136,950,104.29,20.0,1,5
285,136,135,950,104.29,20.0,1,5
286,94,137,950,104.54,20.0,1,4
287,137,94,950,104.54,20.0,1,4
290,136,138,950,54.05,20.0,1,5
291,138,136,950,54.05,20.0,1,5
294,138,139,950,101.64,20.0,1,5
295,139,138,950,101.64,20.0,1,5
296,138,140,950,62.23,20.0,1,5
297,140,138,950,62.23,20.0,1,5
300,138,141,950,178.83,20.0,1,5
301,141,138,950,178.83,20.0,1,5
302,140,142,950,57.98,20.0,1,5
303,142,140,950,57.98,20.0,1,5
306,142,143,950,25.13,20.0,1,5
307,143,142,950,25.13,20.0,1,5
310,144,145,950,40.87,20.0,1,5
311,145,144,950,40.87,20.0,1,5
312,144,143,950,36.2,20.0,1,5
313,143,144,950,36.2,20.0,1,5
314,146,147,950,37.86,20.0,1,5
315,147,146,950,37.86,20.0,1,5
316,146,145,950,118.05,20.0,1,5
317,145,146,950,118.05,20.0,1,5
320,147,148,950,60.0,20.0,1,5
321,148,147,950,60.0,20.0,1,5
322,148,149,950,61.56,20.0,1,5
323,149,148,950,61.56,20.0,1,5
328,149,150,950,63.73,20.0,1,5
329,150,149,950,63.73,20.0,1,5
330,150,114,950,171.02,20.0,1,5
331,114,150,950,171.02,20.0,1,5
334,113,151,5400,101.94,40.0,2,3
335,152,153,5400,9.19,40.0,2,3
336,153,152,5400,9.19,40.0,2,3
337,152,154,5400,53.55,40.0,2,3
338,154,152,5400,53.55,40.0,2,3
341,153,155,5400,36.09,40.0,2,3
342,155,153,5400,36.09,40.0,2,3
343,156,157,5400,82.02,40.0,2,3
344,157,156,5400,82.02,40.0,2,3
345,156,158,5400,178.41,40.0,2,3
346,158,156,5400,178.41,40.0,2,3
347,159,160,950,85.96,20.0,1,5
348,160,159,950,85.96,20.0,1,5
349,159,161,950,84.66,20.0,1,5
350,161,159,950,84.66,20.0,1,5
351,162,163,950,56.88,20.0,1,5
352,163,162,950,56.88,20.0,1,5
353,162,164,950,59.38,20.0,1,5
354,164,162,950,59.38,20.0,1,5
355,165,166,5400,86.07,40.0,2,3
356,167,168,950,57.03,20.0,1,4
357,168,167,950,57.03,20.0,1,4
358,167,169,950,59.25,20.0,1,4
359,169,167,950,59.25,20.0,1,4
360,170,171,950,83.58,20.0,1,5
361,171,170,950,83.58,20.0,1,5
362,172,173,5400,25.33,40.0,2,3
363,170,174,950,173.49,20.0,1,5
364,174,170,950,173.49,20.0,1,5
365,172,175,5400,228.42,40.0,2,3
366,176,177,5400,266.06,40.0,2,3
367,178,179,5400,171.31,40.0,2,3
368,179,178,5400,171.31,40.0,2,3
369,178,180,5400,171.25,40.0,2,3
370,180,178,5400,171.25,40.0,2,3
371,181,182,9900,55.22,60.0,3,2
372,181,183,9900,62.55,60.0,3,2
373,182,184,9900,161.04,60.0,3,2
374,185,186,950,18.37,20.0,1,4
375,186,185,950,18.37,20.0,1,4
376,187,188,950,169.52,20.0,1,5
377,188,187,950,169.52,20.0,1,5
378,187,189,950,180.25,20.0,1,5
379,189,187,950,180.25,20.0,1,5
380,185,190,950,8.54,20.0,1,4
381,190,185,950,8.54,20.0,1,4
382,191,192,5400,48.78,40.0,2,3
383,193,194,950,251.53,20.0,1,5
384,194,193,950,251.53,20.0,1,5
385,193,195,950,296.29,20.0,1,5
386,195,193,950,296.29,20.0,1,5
387,196,197,950,117.25,20.0,1,5
388,197,196,950,117.25,20.0,1,5
389,196,198,950,89.88,20.0,1,5
390,198,196,950,89.88,20.0,1,5
391,190,199,950,44.51,20.0,1,4
392,199,190,950,44.51,20.0,1,4
393,200,201,950,78.77,20.0,1,5
394,201,200,950,78.77,20.0,1,5
395,200,198,950,132.08,20.0,1,5
396,198,200,950,132.08,20.0,1,5
397,202,203,950,29.49,20.0,1,5
398,203,202,950,29.49,20.0,1,5
399,202,204,950,63.12,20.0,1,5
400,204,202,950,63.12,20.0,1,5
401,94,205,950,89.34,20.0,1,5
402,205,94,950,89.34,20.0,1,5
405,206,207,950,160.5,20.0,1,5
406,207,206,950,160.5,20.0,1,5
407,208,209,950,52.02,20.0,1,5
408,209,208,950,52.02,20.0,1,5
409,208,210,950,89.38,20.0,1,5
410,210,208,950,89.38,20.0,1,5
411,211,212,950,85.18,20.0,1,4
412,212,211,950,85.18,20.0,1,4
413,211,213,950,95.67,20.0,1,4
414,213,211,950,95.67,20.0,1,4
415,206,214,950,155.72,20.0,1,5
416,214,206,950,155.72,20.0,1,5
417,215,216,950,177.69,20.0,1,5
418,216,215,950,177.69,20.0,1,5
419,215,217,950,172.33,20.0,1,5
420,217,215,950,172.33,20.0,1,5
421,218,219,950,178.5,20.0,1,5
422,220,221,950,111.68,20.0,1,5
423,221,220,950,111.68,20.0,1,5
424,220,222,950,101.73,20.0,1,5
425,222,220,950,101.73,20.0,1,5
426,223,224,950,69.75,20.0,1,5
427,225,226,950,181.28,20.0,1,5
428,227,228,5400,178.67,40.0,2,3
429,228,227,5400,178.67,40.0,2,3
430,227,229,5400,177.91,40.0,2,3
431,229,227,5400,177.91,40.0,2,3
432,230,231,950,64.05,20.0,1,4
433,231,230,950,64.05,20.0,1,4
434,230,232,950,62.5,20.0,1,4
435,232,230,950,62.5,20.0,1,4
436,233,234,950,105.72,20.0,1,4
437,234,233,950,105.72,20.0,1,4
438,233,231,950,131.02,20.0,1,4
439,231,233,950,131.02,20.0,1,4
440,234,235,950,59.26,20.0,1,4
441,235,234,950,59.26,20.0,1,4
446,235,236,950,51.95,20.0,1,4
447,236,235,950,51.95,20.0,1,4
448,237,238,5400,65.38,40.0,2,3
449,238,237,5400,65.38,40.0,2,3
450,237,239,5400,108.84,40.0,2,3
451,239,237,5400,108.84,40.0,2,3
452,238,240,5400,73.37,40.0,2,3
453,240,238,5400,73.37,40.0,2,3
458,240,241,5400,60.63,40.0,2,3
459,241,240,5400,60.63,40.0,2,3
460,240,242,5400,64.14,40.0,2,3
461,242,240,5400,64.14,40.0,2,3
462,242,243,5400,120.65,40.0,2,3
463,243,242,5400,120.65,40.0,2,3
468,243,244,5400,36.64,40.0,2,3
469,244,243,5400,36.64,40.0,2,3
470,243,245,5400,42.41,40.0,2,3
