,a_node,b_node,capacity,free_flow_time,a,b,direction,link_id
0,4469,4471,1200,0.156078,0.5,1.2,1,1
1,4471,4469,1200,0.156078,0.5,1.2,1,2
2,4487,4488,3600,0.306808,0.5,1.2,1,3
3,5642,5643,3600,0.285253,0.5,1.2,1,4
4,6472,6473,6000,0.480806,0.5,1.2,1,5
5,6478,5643,6000,0.13032866666666665,0.5,1.2,1,6
6,6478,6479,6000,0.5030593333333333,0.5,1.2,1,7
7,6258,7509,1200,0.59953,0.5,1.2,1,8
8,7509,6258,1200,0.59953,0.5,1.2,1,9
9,8070,8072,1200,0.260546,0.5,1.2,1,10
10,8072,8070,1200,0.260546,0.5,1.2,1,11
11,8070,8073,3600,0.109972,0.5,1.2,1,12
12,8112,8113,1200,0.53124,0.5,1.2,1,13
13,8113,5254,1200,0.52567,0.5,1.2,1,14
14,9090,8071,3600,0.108276,0.5,1.2,1,15
15,195,10000029,99999,5.167566000000001,0.5,1.2,1,16
16,10000029,195,99999,5.167566000000001,0.5,1.2,1,17
17,2542,10000029,99999,1.839108,0.5,1.2,1,18
18,10000029,2542,99999,1.839108,0.5,1.2,1,19
19,2543,10000029,99999,1.6092899999999999,0.5,1.2,1,20
20,10000029,2543,99999,1.6092899999999999,0.5,1.2,1,21
21,2544,10000029,99999,2.066316,0.5,1.2,1,22
22,10000029,2544,99999,2.066316,0.5,1.2,1,23
23,4471,10000029,99999,1.0545600000000002,0.5,1.2,1,24
24,10000029,4471,99999,1.0545600000000002,0.5,1.2,1,25
25,6258,10000029,99999,1.282542,0.5,1.2,1,26
26,10000029,6258,99999,1.282542,0.5,1.2,1,27
27,6886,10000029,99999,2.899182,0.5,1.2,1,28
28,10000029,6886,99999,2.899182,0.5,1.2,1,29
29,8113,10000029,99999,2.8412640000000002,0.5,1.2,1,30
30,10000029,8113,99999,2.8412640000000002,0.5,1.2,1,31
31,6467,10000134,99999,5.158404,0.5,1.2,1,32
32,10000134,6467,99999,5.158404,0.5,1.2,1,33
33,6468,10000134,99999,5.074188,0.5,1.2,1,34
