latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.96188,-75.15539,32.0,-14400,America/New_York,GMT-4

time,temperature_2m (°C),rain (mm),snowfall (cm),visibility (m),wind_speed_10m (km/h)
2025-11-01T00:00,12.2,0.00,0.00,46000.00,22.3
2025-11-01T00:15,11.9,0.00,0.00,46300.00,23.3
2025-11-01T00:30,11.6,0.00,0.00,44500.00,22.3
2025-11-01T00:45,11.3,0.00,0.00,42600.00,19.4
2025-11-01T01:00,11.9,0.00,0.00,45000.00,16.2
2025-11-01T01:15,11.7,0.00,0.00,44200.00,17.9
2025-11-01T01:30,11.4,0.00,0.00,41400.00,15.5
2025-11-01T01:45,11.0,0.00,0.00,38900.00,12.7
2025-11-01T02:00,11.4,0.00,0.00,39900.00,11.8
2025-11-01T02:15,11.0,0.00,0.00,38800.00,10.0
2025-11-01T02:30,10.7,0.00,0.00,36800.00,10.8
2025-11-01T02:45,10.6,0.00,0.00,36200.00,11.4
2025-11-01T03:00,11.0,0.00,0.00,39600.00,9.9
2025-11-01T03:15,10.7,0.00,0.00,38300.00,11.1
2025-11-01T03:30,10.5,0.00,0.00,37000.00,10.4
2025-11-01T03:45,10.3,0.00,0.00,36000.00,12.0
2025-11-01T04:00,10.7,0.00,0.00,39700.00,11.2
2025-11-01T04:15,10.3,0.00,0.00,36700.00,11.7
2025-11-01T04:30,10.1,0.00,0.00,34600.00,12.6
2025-11-01T04:45,9.9,0.00,0.00,32900.00,13.3
2025-11-01T05:00,10.0,0.00,0.00,34400.00,10.2
2025-11-01T05:15,9.7,0.00,0.00,33100.00,13.8
2025-11-01T05:30,9.6,0.00,0.00,34600.00,16.1
2025-11-01T05:45,9.5,0.00,0.00,34700.00,16.1
2025-11-01T06:00,9.4,0.00,0.00,33400.00,12.7
2025-11-01T06:15,9.2,0.00,0.00,35600.00,13.5
2025-11-01T06:30,9.0,0.00,0.00,34800.00,12.5
2025-11-01T06:45,8.8,0.00,0.00,33100.00,12.0
2025-11-01T07:00,9.0,0.00,0.00,34300.00,7.2
2025-11-01T07:15,8.6,0.00,0.00,31600.00,10.4
2025-11-01T07:30,8.5,0.00,0.00,31700.00,13.2
2025-11-01T07:45,8.4,0.00,0.00,30800.00,14.8
2025-11-01T08:00,8.6,0.00,0.00,29800.00,12.7
2025-11-01T08:15,9.0,0.00,0.00,30200.00,16.1
2025-11-01T08:30,9.4,0.00,0.00,30400.00,15.7
2025-11-01T08:45,9.8,0.00,0.00,31200.00,16.5
2025-11-01T09:00,10.6,0.00,0.00,32200.00,17.0
2025-11-01T09:15,10.9,0.00,0.00,33200.00,17.9
2025-11-01T09:30,11.3,0.00,0.00,34500.00,18.4
2025-11-01T09:45,11.7,0.00,0.00,36300.00,19.1
2025-11-01T10:00,12.7,0.00,0.00,40000.00,18.2
2025-11-01T10:15,12.6,0.00,0.00,40900.00,18.3
2025-11-01T10:30,12.8,0.00,0.00,41300.00,20.4
2025-11-01T10:45,13.1,0.00,0.00,41300.00,20.5
2025-11-01T11:00,14.1,0.00,0.00,45000.00,19.9
2025-11-01T11:15,13.3,0.00,0.00,46000.00,19.5
2025-11-01T11:30,13.6,0.00,0.00,42600.00,20.2
2025-11-01T11:45,13.9,0.00,0.00,45500.00,20.2
2025-11-01T12:00,14.7,0.00,0.00,49700.00,21.6
2025-11-01T12:15,14.6,0.00,0.00,50700.00,22.3
2025-11-01T12:30,14.9,0.00,0.00,51500.00,22.3
2025-11-01T12:45,14.9,0.00,0.00,50700.00,21.6
2025-11-01T13:00,15.5,0.00,0.00,48900.00,21.7
2025-11-01T13:15,15.1,0.00,0.00,50900.00,20.3
2025-11-01T13:30,15.0,0.00,0.00,51800.00,21.0
2025-11-01T13:45,15.0,0.00,0.00,52000.00,19.9
2025-11-01T14:00,15.5,0.00,0.00,48300.00,20.3
2025-11-01T14:15,15.5,0.00,0.00,50600.00,19.5
2025-11-01T14:30,15.2,0.00,0.00,50600.00,18.8
2025-11-01T14:45,15.5,0.00,0.00,51400.00,18.1
2025-11-01T15:00,15.8,0.00,0.00,48500.00,17.6
2025-11-01T15:15,15.2,0.00,0.00,51400.00,18.1
2025-11-01T15:30,15.5,0.00,0.00,52400.00,18.9
2025-11-01T15:45,15.3,0.00,0.00,52000.00,16.8
2025-11-01T16:00,16.0,0.00,0.00,51500.00,19.1
2025-11-01T16:15,15.9,0.00,0.00,53100.00,20.3
2025-11-01T16:30,15.8,0.00,0.00,54400.00,19.4
2025-11-01T16:45,15.7,0.00,0.00,55100.00,18.2
2025-11-01T17:00,16.1,0.00,0.00,55600.00,18.1
2025-11-01T17:15,15.5,0.00,0.00,57300.00,16.4
2025-11-01T17:30,15.0,0.00,0.00,55700.00,14.3
2025-11-01T17:45,14.4,0.00,0.00,52600.00,11.3
2025-11-01T18:00,14.7,0.00,0.00,53200.00,12.0
2025-11-01T18:15,14.1,0.00,0.00,51100.00,9.0
2025-11-01T18:30,13.6,0.00,0.00,49100.00,7.6
2025-11-01T18:45,13.1,0.00,0.00,47300.00,6.9
2025-11-01T19:00,13.2,0.00,0.00,49900.00,2.0
2025-11-01T19:15,12.8,0.00,0.00,49200.00,4.7
2025-11-01T19:30,12.4,0.00,0.00,46900.00,6.9
2025-11-01T19:45,12.0,0.00,0.00,44500.00,6.9
2025-11-01T20:00,10.9,0.00,0.00,38100.00,0.8
2025-11-01T20:15,10.7,0.00,0.00,38200.00,1.8
2025-11-01T20:30,10.7,0.00,0.00,38300.00,1.9
2025-11-01T20:45,10.5,0.00,0.00,38200.00,3.6
